AMTemp1(℃),EacToday(kWh)
64.7,295.1
64.9,300.9
65.1,306.9
65.1,312.7
65.1,318.6
65.0,324.4
65.0,330.2
65.0,336.0
64.6,341.5
64.4,347.2
64.3,352.6
64.1,358.2
63.8,363.4
63.5,368.8
63.2,374.2
62.9,379.2
62.8,384.5
62.6,389.5
62.4,394.5
62.3,399.4
62.1,404.4
61.9,409.1
61.8,413.7
61.6,418.4
61.4,422.7
61.1,427.2
60.8,431.5
60.3,435.7
59.8,439.7
59.4,443.6
58.9,447.5
58.3,451.1
57.7,454.8
57.3,458.2
56.8,461.6
56.4,464.9
55.9,467.9
55.4,470.8
55.0,473.5
54.5,476.2
54.0,478.7
53.5,481.0
53.0,483.2
52.5,485.4
52.1,487.4
51.6,489.2
51.2,491.0
50.9,492.6
50.4,494.1
49.9,495.5
49.7,496.7
49.4,497.9
49.2,498.9
49.1,499.7
48.7,500.5
48.3,501.2
48.2,501.8
48.2,502.3
48.1,502.7
48.8,503.0
49.7,503.3
48.7,503.5
48.1,503.7
48.9,503.8
49.8,503.9
48.1,503.9
48.2,504.0
49.1,504.0
49.9,504.0
48.1,504.0
48.2,504.0
26.4,0.0
27.9,0.0
29.7,0.0
31.1,0.0
32.1,0.0
33.1,0.1
33.9,0.2
34.6,0.3
35.3,0.5
36.0,0.7
36.6,1.1
36.8,1.4
37.5,1.9
38.2,2.5
38.8,3.1
39.5,3.9
40.3,4.7
41.0,5.7
41.5,6.7
41.9,7.9
42.4,9.2
42.8,10.7
43.2,12.3
43.7,14.2
44.1,16.1
44.5,18.3
44.8,19.7
45.1,22.3
46.0,27.5
46.7,30.4
47.4,33.3
48.2,36.4
48.9,39.6
49.6,43.0
47.5,46.5
45.1,50.0
44.9,53.7
45.2,57.6
45.6,61.6
46.1,65.6
46.6,69.8
47.1,74.1
47.7,78.5
48.2,83.1
48.8,87.7
49.4,92.5
50.2,97.3
50.9,102.2
51.4,107.1
52.0,112.2
52.7,117.2
53.2,122.6
53.6,127.9
54.3,133.2
55.0,138.6
55.5,144.0
56.1,149.5
56.8,155.0
57.4,160.6
58.1,166.4
58.7,172.2
59.3,177.9
60.1,183.7
60.6,189.4
61.0,195.4
61.4,201.2
61.6,207.1
61.9,213.2
62.3,219.0
62.7,225.0
63.0,230.9
63.4,237.0
63.5,242.9
63.6,248.8
63.8,254.8
64.0,260.8
64.2,266.8
64.3,272.8
64.2,278.6
64.2,284.6
64.4,290.4
64.6,296.3
64.7,302.2
64.8,308.1
64.9,314.0
65.2,319.7
65.2,325.6
65.3,331.3
65.4,337.0
65.4,342.6
65.3,348.2
65.3,353.7
65.2,359.2
65.1,364.7
65.0,369.9
64.8,375.4
64.6,380.5
64.3,385.8
64.0,390.8
63.7,395.8
63.4,400.7
63.1,405.6
62.8,410.2
62.5,414.8
62.1,419.2
61.7,423.5
61.4,427.9
61.0,432.0
60.7,436.1
60.1,440.0
59.6,443.8
59.0,447.5
58.6,451.0
58.2,454.5
57.6,457.9
57.2,461.1
56.7,464.2
56.2,467.3
55.8,470.1
55.2,472.8
54.6,475.5
54.0,478.0
53.5,480.3
52.9,482.6
52.3,484.8
51.8,486.8
51.2,488.7
50.8,490.4
50.5,492.0
49.9,493.4
49.5,494.9
49.3,496.1
49.1,497.2
48.9,498.2
48.6,499.1
48.3,499.8
48.2,500.5
48.1,501.1
48.1,501.6
48.7,502.0
49.6,502.4
49.0,502.7
48.1,502.9
48.8,503.1
49.8,503.2
48.3,503.3
48.2,503.4
49.2,503.4
50.0,503.4
48.0,503.4
48.4,503.4
49.2,503.4
50.0,503.4
27.0,0.0
28.5,0.0
30.3,0.0
31.5,0.0
32.5,0.0
33.4,0.1
34.1,0.2
34.8,0.3
35.4,0.5
36.0,0.8
36.6,1.1
37.0,1.4
37.2,1.8
37.7,2.3
38.3,2.9
38.9,3.5
39.6,4.3
40.2,5.1
40.8,6.1
41.2,7.1
41.7,8.3
42.2,9.5
42.6,11.0
42.9,12.6
43.1,14.2
43.4,16.1
43.6,17.4
43.7,19.6
43.9,21.9
44.1,24.2
44.4,26.7
44.9,29.3
45.3,32.1
45.7,35.2
46.2,38.3
46.8,41.6
47.4,45.1
48.0,48.6
48.5,52.3
49.2,56.2
49.8,60.0
46.9,64.1
44.8,68.2
44.7,72.5
45.0,76.7
45.4,81.3
45.8,85.8
46.2,90.4
46.9,95.2
47.6,99.9
48.4,104.9
49.1,109.8
49.8,115.0
50.5,120.0
51.1,125.2
51.7,130.4
52.3,135.7
53.0,141.4
53.6,147.3
54.0,152.8
54.6,158.4
55.3,164.0
55.8,169.6
56.3,175.3
56.8,180.9
57.4,186.7
57.8,192.4
58.2,198.0
58.5,203.8
58.6,209.6
58.7,215.5
58.9,221.3
59.4,227.2
59.6,233.1
59.7,239.0
60.0,245.0
60.3,250.6
60.4,256.6
60.5,262.6
60.4,268.3
60.3,274.2
60.5,280.0
60.6,285.8
60.8,291.6
60.9,297.4
61.0,303.3
61.1,308.9
61.0,314.6
61.1,320.2
61.1,325.7
61.1,331.3
61.0,336.7
60.8,342.0
60.8,347.4
60.3,352.6
59.9,358.0
59.8,363.1
59.4,368.2
59.4,373.2
59.2,378.2
58.9,383.0
58.7,387.9
58.2,392.6
57.9,397.2
57.8,401.7
57.4,406.1
56.9,410.4
56.6,414.7
56.3,418.8
56.1,422.8
55.7,426.7
55.2,430.4
54.8,434.3
54.4,437.8
54.0,441.3
53.6,444.7
53.1,447.9
52.7,450.9
52.4,453.8
52.0,456.8
51.7,459.5
51.3,462.1
50.9,464.6
50.3,467.0
49.8,469.1
49.5,471.2
49.2,473.1
49.0,475.0
48.7,476.7
48.5,478.2
48.4,479.6
48.2,480.9
48.1,482.1
48.3,483.1
49.2,484.1
49.6,485.0
48.1,485.8
48.5,486.4
49.4,487.0
49.6,487.5
48.0,487.9
48.6,488.2
49.4,488.5
49.2,488.7
48.0,488.9
48.8,489.0
49.7,489.1
48.5,489.2
48.1,489.2
48.9,489.3
49.7,489.3
48.2,489.3
48.0,489.3
48.7,489.3
27.0,0.0
28.5,0.0
30.3,0.0
31.5,0.0
32.5,0.0
33.5,0.1
34.3,0.2
35.0,0.4
35.7,0.6
36.3,0.8
36.9,1.1
37.0,1.5
37.5,1.9
38.1,2.5
38.7,3.1
38.8,3.2
39.5,4.0
40.1,4.8
40.8,5.7
41.3,6.6
41.8,7.7
42.1,9.0
42.4,10.4
42.8,11.9
43.1,13.5
43.5,15.2
43.7,17.1
43.7,18.4
43.8,20.8
44.0,23.1
44.3,25.5
44.7,28.1
45.2,30.9
45.6,33.8
46.2,36.8
46.7,40.2
47.1,43.6
47.7,47.2
48.3,50.9
49.0,54.6
49.7,58.6
47.5,62.7
44.8,66.9
44.4,71.4
44.7,75.8
45.0,80.3
45.3,85.0
45.7,89.8
46.4,94.6
47.0,99.5
47.5,104.6
48.1,109.7
48.7,115.0
49.4,120.3
50.3,125.8
50.8,131.4
51.0,136.8
51.3,142.4
51.6,148.0
52.0,153.9
52.6,159.5
53.1,165.3
53.5,171.2
53.8,177.2
54.3,183.3
54.8,189.2
55.5,195.2
55.9,201.2
56.1,207.3
56.4,213.4
56.6,219.3
56.9,225.6
57.2,231.6
57.6,237.7
58.1,243.9
58.3,250.0
58.2,256.3
58.2,262.6
58.2,268.9
58.2,275.1
58.6,281.3
58.9,287.6
59.2,293.7
59.3,299.9
59.1,306.0
59.0,312.2
59.1,318.3
59.3,324.4
59.3,330.2
58.9,342.1
59.0,348.1
59.3,354.0
59.6,359.8
59.4,365.6
59.2,371.2
58.9,376.8
58.9,382.2
58.9,387.7
58.5,393.0
58.4,398.3
58.4,403.4
58.3,408.7
58.1,413.7
57.8,418.6
57.4,423.5
57.1,428.4
56.6,433.0
55.9,437.6
55.7,442.0
55.4,446.6
55.2,450.9
54.6,455.2
54.1,459.2
53.8,463.3
53.5,467.2
53.1,470.8
52.6,474.3
52.2,477.9
51.5,481.2
51.3,484.5
51.0,487.7
50.3,490.7
49.8,493.6
49.3,496.4
48.8,499.0
48.3,501.4
48.0,503.7
49.5,508.1
49.7,510.0
48.0,511.7
48.5,513.3
49.3,514.4
49.7,515.6
48.0,516.5
48.4,517.1
49.2,517.6
49.9,518.3
48.0,519.0
48.1,519.5
48.8,519.9
49.5,520.3
50.0,520.5
47.9,520.7
48.3,521.0
49.0,521.1
49.5,521.3
49.7,521.3
49.8,521.4
49.8,521.4
49.7,521.4
49.7,521.5
49.6,521.5
49.6,521.5
23.9,0.0
25.4,0.0
27.0,0.0
28.6,0.0
30.0,0.0
31.2,0.1
31.7,0.3
32.4,0.5
33.1,0.7
33.7,1.0
34.0,1.4
34.5,1.8
35.2,2.4
35.9,3.0
36.5,3.8
37.2,4.6
38.0,5.5
38.8,6.6
39.7,7.7
40.5,9.0
41.1,10.5
41.7,12.1
42.1,13.8
42.6,15.7
43.1,17.8
43.4,20.2
43.8,22.6
44.1,25.2
44.5,28.0
44.9,31.0
45.4,34.1
46.0,37.4
46.7,40.9
47.4,44.4
47.9,48.0
48.5,51.9
49.1,55.8
49.9,59.7
45.8,63.9
44.5,68.1
44.6,72.6
45.0,77.0
45.4,81.6
45.9,86.4
46.4,91.4
47.1,96.3
47.9,101.5
48.4,106.6
48.9,112.1
49.6,117.3
50.3,123.0
51.1,128.5
51.6,134.2
52.1,139.9
52.7,145.7
53.3,151.7
54.0,157.5
54.6,163.7
55.4,169.9
55.8,176.0
56.4,182.5
56.8,188.7
57.4,195.0
57.9,201.4
58.4,207.8
58.8,214.2
59.0,220.8
59.4,227.4
59.9,233.8
60.5,240.1
60.4,246.7
60.4,253.3
60.8,260.0
61.4,266.6
61.8,273.2
61.5,279.9
61.8,286.4
62.1,293.1
62.2,299.7
62.3,306.3
62.6,312.7
62.9,319.4
62.9,325.9
62.7,332.4
62.7,338.9
62.7,345.3
62.5,351.9
62.5,358.4
62.7,364.9
63.0,371.0
62.8,377.5
62.7,383.8
62.5,390.0
62.5,396.3
62.5,402.4
62.2,408.6
62.0,414.6
62.0,420.5
62.1,426.4
61.8,432.2
61.3,437.8
61.1,443.5
60.9,449.0
60.3,454.5
59.8,459.7
59.3,465.0
58.9,470.0
58.5,475.1
57.9,479.9
57.4,484.9
56.9,489.5
56.3,494.1
55.9,498.6
55.5,502.9
55.1,507.2
54.5,511.3
53.9,515.4
53.3,519.2
52.8,522.8
52.5,526.5
52.0,529.8
51.5,533.2
51.1,536.4
50.5,539.4
49.9,542.3
49.2,544.9
48.5,547.6
48.2,549.9
48.0,552.1
48.5,554.2
49.2,556.2
49.9,557.9
48.2,559.5
48.1,561.0
48.7,562.3
49.5,563.4
49.9,564.5
47.9,565.4
48.2,566.3
48.8,567.0
49.3,567.6
49.8,568.1
48.0,568.5
47.8,568.8
48.3,569.0
48.7,569.2
49.1,569.4
49.3,569.5
49.3,569.5
49.3,569.5
49.3,569.6
49.3,569.6
49.2,569.6
49.1,569.6
22.3,0.0
23.7,0.0
25.4,0.0
26.9,0.0
28.3,0.0
29.5,0.1
30.5,0.2
31.2,0.4
31.9,0.6
32.5,0.9
32.9,1.3
33.3,1.7
33.9,2.2
34.5,2.8
35.1,3.5
35.8,4.4
36.4,5.3
37.2,6.4
38.0,7.5
38.8,8.8
39.4,10.4
40.1,12.1
40.7,13.9
41.1,15.9
41.5,18.1
42.0,20.6
42.3,23.1
42.6,25.8
43.2,28.6
43.8,31.7
44.4,34.9
45.0,38.1
45.6,41.6
46.2,45.1
46.8,48.8
47.5,52.7
48.3,56.7
45.7,60.9
43.7,65.0
43.5,69.3
43.6,73.9
44.0,78.4
44.2,83.3
44.6,88.1
44.9,93.2
45.5,98.2
46.2,103.5
47.0,108.7
47.8,114.1
48.5,119.4
49.1,125.1
49.8,130.6
50.6,136.4
51.2,142.1
51.8,148.0
52.6,159.8
53.3,165.9
53.9,172.1
54.6,178.1
55.2,184.3
55.5,190.5
55.9,196.8
56.6,203.4
57.0,209.6
57.3,216.1
57.7,222.7
58.1,229.2
58.4,235.7
59.0,242.2
59.3,248.8
59.6,255.3
60.1,261.8
60.6,268.4
60.8,275.0
60.9,281.5
61.2,288.1
61.6,294.7
61.7,301.1
61.7,307.7
61.7,314.3
61.8,320.6
62.2,327.1
62.0,333.5
61.9,339.9
62.1,346.1
62.1,352.3
62.4,358.4
62.3,364.6
62.1,370.8
62.4,376.7
62.3,382.8
61.9,388.8
61.6,394.6
61.5,400.5
61.4,406.2
61.4,411.9
61.3,417.5
60.8,422.9
60.5,428.5
60.6,433.9
60.3,439.4
60.2,444.7
60.1,449.7
59.4,454.8
58.9,459.7
58.5,464.8
58.0,469.5
57.7,474.1
57.3,478.7
57.0,483.2
56.5,487.6
56.1,491.7
55.7,495.9
55.3,499.8
54.7,503.6
54.2,507.3
53.7,510.8
53.4,514.3
52.9,517.7
52.3,520.9
51.9,524.0
51.4,527.0
51.1,529.9
50.6,532.5
50.1,535.1
49.6,537.6
49.2,539.8
48.9,541.9
48.6,543.8
48.5,545.8
48.1,547.4
48.2,548.9
49.2,550.3
49.8,551.6
48.0,552.8
48.3,553.8
49.2,554.7
49.9,555.6
48.1,556.3
48.2,556.9
49.0,557.4
49.7,557.8
49.0,558.1
47.9,558.4
48.5,558.6
49.1,558.7
49.5,558.8
49.7,558.9
49.9,558.9
49.9,558.9
49.9,558.9
49.9,558.9
49.7,558.9
49.6,558.9
23.3,0.0
24.8,0.0
26.6,0.0
28.1,0.0
29.5,0.0
30.8,0.1
31.4,0.2
32.1,0.4
32.8,0.6
33.4,0.8
33.5,1.2
34.2,1.6
34.9,2.1
35.5,2.6
36.2,3.3
36.9,4.1
38.5,6.0
39.3,7.1
40.1,8.3
40.7,9.7
41.2,11.3
41.6,13.0
42.1,14.9
42.4,16.9
42.8,19.1
43.2,21.7
43.5,24.2
43.9,26.9
44.5,29.8
45.0,32.9
45.6,36.1
46.1,39.3
46.7,42.8
47.4,46.3
48.0,50.0
48.6,53.9
49.1,57.8
46.1,62.0
44.5,66.2
44.4,70.4
44.8,75.0
45.2,79.7
45.8,84.4
46.4,89.1
46.8,94.1
47.2,99.0
47.8,104.2
48.8,109.4
49.5,114.8
50.2,120.1
51.0,125.6
51.7,131.1
52.4,136.8
53.1,142.6
53.7,148.4
54.4,154.1
55.0,160.1
55.6,166.1
56.3,172.0
57.0,178.2
57.5,184.2
58.2,190.4
58.8,196.6
59.4,203.0
60.0,209.1
60.2,215.5
60.6,221.8
61.0,228.1
61.1,234.6
61.5,240.9
61.8,247.3
62.0,253.8
62.4,260.1
62.8,266.5
63.1,272.9
63.3,279.1
63.4,285.4
63.5,291.8
63.7,298.1
64.0,304.4
64.2,310.5
64.2,316.8
64.5,323.0
64.7,329.3
64.8,335.5
64.6,341.5
64.6,347.7
64.6,353.8
64.8,359.8
65.0,365.8
64.8,371.6
64.6,377.5
64.4,383.1
64.2,388.8
64.1,394.5
64.1,400.0
64.0,405.4
63.8,410.8
63.6,416.1
63.3,421.3
63.1,426.4
62.8,431.5
62.6,436.4
62.2,441.3
61.9,446.2
61.6,450.9
61.2,455.5
61.1,460.1
60.7,464.4
60.2,468.7
59.7,472.8
59.2,476.9
58.7,480.7
58.2,484.4
57.7,488.2
57.2,491.6
56.7,495.2
56.3,498.5
55.8,501.6
55.2,504.7
54.6,507.8
54.0,510.6
53.5,513.3
53.0,516.0
52.6,518.4
52.1,520.7
51.7,522.8
51.1,524.8
50.8,526.8
50.5,528.6
49.9,530.2
49.3,531.6
49.1,533.0
48.7,534.2
48.6,535.4
48.3,536.4
48.0,537.3
48.4,538.1
49.4,538.8
49.4,539.3
48.0,539.8
48.6,540.2
49.6,540.5
48.7,540.7
48.0,540.9
48.6,541.1
49.3,541.2
49.8,541.2
48.0,541.3
48.0,541.3
48.7,541.3
49.2,541.3
49.7,541.3
49.9,541.3
24.7,0.0
26.3,0.0
28.1,0.0
29.7,0.0
31.1,0.0
31.8,0.1
32.6,0.2
33.4,0.4
34.1,0.5
34.8,0.8
35.5,1.1
35.7,1.5
36.2,1.9
37.0,2.5
37.7,3.2
38.5,3.9
39.3,4.8
40.1,5.8
40.9,6.8
41.4,8.0
41.8,9.3
42.3,10.8
42.8,12.4
43.3,14.2
43.8,16.2
44.3,18.3
44.7,20.8
45.1,23.2
45.3,25.6
45.7,28.3
46.3,31.3
46.9,34.3
47.6,37.4
48.0,40.7
48.5,44.0
49.0,47.5
49.6,51.1
48.3,54.9
45.2,58.7
44.8,62.8
45.1,66.9
45.5,71.2
46.0,75.6
46.7,80.1
47.3,84.8
47.9,89.4
48.6,94.2
49.3,99.1
50.1,104.2
50.5,109.2
51.2,114.4
51.8,119.7
52.3,125.0
53.0,130.6
53.5,136.1
54.2,141.6
54.9,147.2
55.5,152.9
56.2,158.7
56.8,164.5
57.3,170.3
57.8,176.2
58.2,182.2
58.6,188.2
59.0,194.2
59.5,200.4
60.1,206.6
60.6,212.7
61.1,218.9
61.4,225.2
62.0,231.3
62.4,237.5
62.6,243.8
62.7,250.0
63.1,256.3
63.3,262.4
63.4,268.7
63.4,274.9
63.6,281.1
63.9,287.4
64.4,293.6
64.4,299.7
64.3,305.9
64.5,312.0
64.6,318.1
64.8,324.2
65.0,330.1
65.2,336.0
64.8,341.9
64.6,347.8
64.6,353.5
64.1,359.3
63.9,365.1
64.0,370.8
64.1,376.4
64.0,381.8
63.5,387.3
63.4,392.6
63.3,398.0
63.2,403.3
63.2,408.6
63.1,413.6
63.0,418.6
62.7,423.5
61.9,428.3
61.4,433.0
61.1,437.8
60.7,442.2
60.5,446.6
59.8,450.8
59.3,455.2
58.7,459.2
58.4,463.0
57.7,466.9
57.2,470.6
56.8,474.2
56.4,477.8
55.7,481.3
55.3,484.6
54.9,487.8
54.4,490.9
54.1,493.8
53.6,496.7
53.2,499.3
52.7,501.9
52.2,504.2
51.8,506.4
51.3,508.5
50.8,510.5
50.2,512.3
49.7,513.9
49.1,515.6
48.9,517.0
48.9,518.3
48.6,519.5
48.3,520.5
48.2,521.5
48.1,522.4
48.7,523.1
49.8,523.8
48.7,524.3
48.2,524.8
48.9,525.3
49.8,525.6
48.1,525.9
48.3,526.1
49.2,526.2
50.0,526.3
48.0,526.4
48.3,526.4
49.1,526.4
49.7,526.5
48.7,526.5
47.9,526.5
48.5,526.5
